"","X","schlcode","c_size","c_boys","c_girls","c_numcl","c_pik","c_status","c_leom","c_tip","c_num4rd","c_type","flgrm4","mrkgrm4","ngrm4","flmth4","mrkmth4","nmth4","towncode","popcode","tip_a","grade","classid","classize","X_type_","X_freq_","cohsize","mathsize","avgmath","passmath","verbsize","avgverb","passverb","studchk","misskov2","missagg","nmiss_k","nmiss_a","classct","math_n","flmath_n","nmath_n","verb_n","flverb_n","nverb_n","impute","nverb_m","nmath_m","tip_s","townid","tipuach"
"28",28,11032,80,40,40,19,1,1,1,4,3,3,27,62,73,50,61,80,30007,11,13,4,2,29,0,3,87,27,62.6699981689453,48.0999984741211,26,62.3499984741211,23.1000003814697,1,0,0,1,0,3,64.2300033569336,49.0320739746094,53,62.2044906616211,26.5265312194824,49,0,NA,NA,13,30007,13
"29",29,11032,80,40,40,19,1,1,1,4,3,3,27,62,73,50,61,80,30007,11,13,4,3,29,0,3,87,27,54.6596298217773,51.9000015258789,24,61.5825004577637,27.966667175293,NA,1,0,1,0,3,64.2300033569336,49.0320739746094,53,62.2044906616211,26.5265312194824,49,1,24,27,13,30007,13
"30",30,11034,79,49,30,15,1,1,1,2,3,3,15,66,71,52.0499992370605,62,73,30007,11,11,4,1,26,0,3,79,22,66.5,40.9000015258789,22,71,13.6000003814697,1,0,0,0,0,3,62.2054786682129,52.0452041625977,73,66.0288696289062,15.4549293518066,71,0,NA,NA,11,30007,11
"31",31,11034,79,49,30,15,1,1,1,2,3,3,15,66,71,52.0499992370605,62,73,30007,11,11,4,2,26,0,3,79,24,54,66.6999969482422,23,58.9099998474121,21.7000007629395,1,0,0,0,0,3,62.2054786682129,52.0452041625977,73,66.0288696289062,15.4549293518066,71,0,NA,NA,11,30007,11
"32",32,11034,79,49,30,15,1,1,1,2,3,3,15,66,71,52.0499992370605,62,73,30007,11,11,4,3,27,0,3,79,27,66,48.0999984741211,26,68.120002746582,11.5,1,0,0,0,0,3,62.2054786682129,52.0452041625977,73,66.0288696289062,15.4549293518066,71,0,NA,NA,11,30007,11
"33",33,11044,36,17,19,7,2,1,1,8,1,1,24,62,29,78.5699996948242,52,28,30007,12,50,4,1,35,0,1,35,28,51.8600006103516,78.5999984741211,29,62.1399993896484,24.1000003814697,1,0,0,0,0,1,51.8600006103516,78.5999984741211,28,62.1399993896484,24.1000003814697,29,0,NA,NA,50,30007,50
"34",34,11045,77,34,43,17,2,1,1,2,2,2,16,74,75,32,69,75,30007,12,9,4,1,38,0,2,77,37,71.2399978637695,16.2000007629395,37,76.0800018310547,10.8000001907349,1,0,0,0,0,2,69.10693359375,32.007999420166,75,73.6682662963867,16.0186672210693,75,0,NA,NA,9,30007,9
"35",35,11045,77,34,43,17,2,1,1,2,2,2,16,74,75,32,69,75,30007,12,9,4,2,39,0,2,77,38,67.0299987792969,47.4000015258789,38,71.3199996948242,21.1000003814697,1,0,0,0,0,2,69.10693359375,32.007999420166,75,73.6682662963867,16.0186672210693,75,0,NA,NA,9,30007,9
"36",36,11048,87,87,0,16,2,1,1,2,2,2,8,81,40,42.5,81,40,30007,12,11,4,1,22,0,2,45,18,82.2200012207031,33.2999992370605,18,81.4400024414062,5.59999990463257,1,0,0,0,0,2,80.6470031738281,42.4850006103516,40,81.0220031738281,7.52500009536743,40,0,NA,NA,11,30007,11
"37",37,11048,87,87,0,16,2,1,1,2,2,2,8,81,40,42.5,81,40,30007,12,11,4,2,23,0,2,45,22,79.3600006103516,50,22,80.6800003051758,9.10000038146973,1,0,0,0,0,2,80.6470031738281,42.4850006103516,40,81.0220031738281,7.52500009536743,40,0,NA,NA,11,30007,11
